"ident","credit.card.owner","profession","sex","nationality","age","av.num.atm.withdr","av.num.cheque.cash.withdr","av.num.cheque.cash.deposits","av.num.reg.pmnt.init.by.cust","av.num.salary.deposits","av.num.transfers","av.amnt.pmnts.init.by.cust","av.num.security.pur.ord","av.num.security.sales.ord","av.amnt.atm.withdr","av.cheque.cash.withdr","av.cash.deposits","av.amnt.reg.pmnt.init.by.cust","av.cheque.credits","av.salary.deposits","av.cheque.debits","av.amnt.transfers","av.num.pmnts.init.by.cust","av.amnt.security.pur.ord","av.amnt.security.sales.ord","av.num.saving.cash.withdr","av.num.saving.cash.deposits","av.amnt.saving.cash.withdr","av.amnt.saving.cash.deposits","av.saving.balance","sd.num.atm.withdr","sd.num.cheque.cash.withdr","sd.num.cheque.cash.deposits","sd.num.reg.pmnt.init.by.cust","sd.num.salary.deposits","sd.num.transfers","sd.amnt.pmnts.init.by.cust","sd.num.security.pur.ord","sd.num.security.sales.ord","sd.amnt.atm.withdr","sd.cheque.cash.withdr","sd.cash.deposits","sd.amnt.reg.pmnt.init.by.cust","sd.cheque.credits","sd.salary.deposits","sd.cheque.debits","sd.amnt.transfers","sd.num.pmnts.init.by.cust","sd.amnt.security.pur.ord","sd.amnt.security.sales.ord","sd.num.saving.cash.withdr","sd.num.saving.cash.deposits","sd.amnt.saving.cash.withdr","sd.amnt.saving.cash.deposits","sd.saving.balance"
1,,"none","M","FR",19.416666667,2.25,1,0,0,0,1,0,0,0,204.16666666666666,279.50524222666667,0,0,909.4696875,0,525.33857556,909.4696875,0,0,0,0,0,0,0,0,.9653072991634227,0,0,0,0,0,0,0,0,45.016831868926005,50.394583139885775,0,0,1.0163147657714224,0,82.38645707253147,1.0163147657714224,0,0,0,0,0,0,0,0
2,,,,,59.583333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,346365.9753800001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5,,"none","F","CH",10.916666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,,,,,66.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2171881.8876999994,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,"yes","lawyer","F","CH",24.083333333,2.5714285714285716,1,0,.7142857142857143,.7142857142857143,.2857142857142857,0,0,0,1028.5714285714287,973.3111170714284,0,417.85714285714283,8580.866250000001,8459.022,2419.7396884914283,121.84425,0,0,0,0,0,0,0,10008.063474,2.2253945610567474,0,0,.48795003647426666,.48795003647426666,.48795003647426666,0,0,0,543.7961803049794,385.1939730490325,0,285.450771337446,6641.553086832923,6812.579005254544,1058.676894126351,322.36958418318164,0,0,0,0,0,0,0,0
8,"no",,,,12.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1006780,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,,,,,18.666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,,"police","F","CH",42.166666667,3.75,1,.16666666666666666,0,1,0,.08333333333333333,0,0,1854.1666666666667,3718.030419425,992.6225696583333,0,5858.024099666666,4865.40153,5586.364685808333,0,14.167599718333333,0,0,.16666666666666666,0,992.6225696583333,0,18663.949911666667,1.2880570286640687,0,.38924947208076144,0,0,0,.2886751345948128,0,0,370.17092693986,193.82586145335944,2319.6044543808457,0,2476.010240238948,1437.9438456896814,229.06528738474765,0,49.07800506690369,0,0,.38924947208076144,0,2319.6044543808457,0,2841.4541224752375
14,,"police","M","CH",69.583333333,2,1,0,0,0,1,0,0,0,579.1666666666666,3556.5214770333337,0,0,4489.2991,0,5298.1881437,4489.2991,0,0,0,0,0,0,0,28587.86741100001,1.1281521496355325,0,0,0,0,0,0,0,0,25.74643252722186,20.3131624271738,0,0,4.227869425609116,0,43.67595116209781,4.227869425609116,0,0,0,0,0,0,0,0
16,,,,,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,515846.60871000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,"yes","engineer","F","CH",25.833333333,1.6666666666666667,1.6666666666666667,0,1,1,0,0,0,0,1483.3333333333333,3002.919689656667,0,450,6110.412,6110.412,4936.253022983333,0,0,0,0,0,.6666666666666666,0,1916.6666666666667,23761.69870566667,.816496580927726,.5163977794943223,0,0,0,0,0,0,0,669.8258480132479,2228.9654386157267,0,0,3.45729142537904,3.45729142537904,1980.4383784949125,0,0,0,0,0,.5163977794943223,0,2119.8270369694474,5172.1046650920225
18,,"teacher","F","IT",34.5,2.0833333333333335,1.25,0,1,1,0,0,0,0,1125,2801.106969158333,0,337.5,4492.9275359250005,4492.9275359250005,4263.606969166667,0,0,0,0,0,.25,0,1233.3333333333333,265928.21848666674,1.1645001528813148,.45226701686664544,0,0,0,0,0,0,0,589.876720556546,2759.241974320254,0,117.50241777009605,1314.675693913595,1314.675693913595,2886.7015728367787,0,0,0,0,0,.45226701686664544,0,2713.7137697705743,6089.85121975799
19,,"engineer","M","CH",91.666666667,2.6666666666666665,1,0,0,0,1,.16666666666666666,0,0,579.1666666666666,3222.4507343916666,0,0,4917.1122000000005,0,5008.485467541667,4917.1122000000005,52.701399814000006,0,0,0,0,0,0,387346.82071000006,1.3026778945578592,0,0,0,0,0,.38924947208076155,0,0,25.74643252722186,16.22668348153312,0,0,4.330988192087207,0,170.56343921103482,4.330988192087207,176.86597513324773,0,0,0,0,0,0,0
20,,"lawyer","F","CH",42,3.3333333333333335,1.25,0,.6666666666666666,1,0,.08333333333333333,0,0,1062.5,2965.4539763666667,0,717.1296296333334,5396.3234325,5396.3234325,5621.79654245,0,1.7129364619166667,0,0,0,.25,0,725,358656,1.8257418583505536,.45226701686664544,0,.984731927834662,0,0,.28867513459481287,0,0,473.92222223406316,2059.313875083476,0,1059.270664044284,1594.8561790278304,1594.8561790278304,1565.5264938071207,0,5.933785964353876,0,0,0,.45226701686664544,0,1574.2963796277659,2179.449471770337
24,,"teacher","F","CH",45.916666667,3.5833333333333335,1,0,0,1,0,.16666666666666666,0,0,1300,1344.9332888333333,0,0,2566.6462851750002,2566.6462851750002,2669.538816125,0,24.605527294166667,0,0,0,0,0,0,12276.403391,1.3113721705515067,0,0,0,0,0,.38924947208076144,0,0,502.71987500721787,104.83388857054854,0,0,758.5466106447775,758.5466106447775,460.98727383098435,0,65.64311410788976,0,0,0,0,0,0,0
26,,"none","F","CH",15.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12785.694162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,"no","none","M","CH",9.4166666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,,"lawyer","F","CH",75.916666667,2.1666666666666665,1.1666666666666667,0,0,0,1,0,0,0,800,4369.030078641667,0,0,6859.249897500001,0,6806.5300786416665,6859.249897500001,0,0,0,0,.16666666666666666,0,375,1318484.4514000001,1.3371158468430433,.3892494720807615,0,0,0,0,0,0,0,0,933.1773064152038,0,0,6.334070230927737,0,931.7696500025289,6.334070230927737,0,0,0,0,.38924947208076144,0,932.3723407620915,1252.2706649050829
30,"yes","engineer","M","CH",67.083333333,2,2,0,0,1,0,0,0,0,4450,5285.5127618,0,0,7029.792,7029.792,9735.5127618,0,0,0,0,0,1,0,3500,650395.74804,,,,,,,,,,,,,,,,,,,,,,,,,
